,ID,YR,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,RACE,GENDER,C1DOB_Y,HAVING_HEALTHPLAN,FAMSIZE_,TNFI_,POVSTATUS_,REGION_,MARSTAT_KEY_,WKSUEMP_PCY_,URBAN_RURAL_,JOBSNUM_,NUMCH_,AGE_1STCHILD,EVER_IN_POVERTY,WHEN_IN_POVERTY,INCOME_,INCOME_MAX,EVER_EDU_LOAN,EDU_DEGREE,EVER_DIVORCED_,EVER_UNEMPLOYED_,HOURS_WORKED_PER_WEEK_,MAJOR_1_,MAJOR_2_,EDU_MAJOR,AMT_EDU_LOAN_,TOTAL_EDU_LOAN,CAL_YEAR_JOBS_,NET_WORTH_,EMP_STATUS_,EDU_LOAN_
1,2,1994,59,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,4,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,2,1,34,Yes,ADULT ONLY,0,25000,-4,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,1,-1,3: OUT OF LABOR FORCE,
2,3,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1981,Yes,5,23000,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,10,3,19,Yes,ADULT ONLY,0,42000,No,High school diploma (or equivalent),No,No,-4,1502,-4,1502,-4,-5,1,700,3: OUT OF LABOR FORCE,
3,6,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,3,53805,0: NOT IN POVERTY,2: NORTH CENTRAL,1: 1  MARRIED,0,1: URBAN,11,1,30,No,NEVER,32500,105000,Yes,Bachelor of Science (BS),No,Yes,40,414,-4,414,-4,6000,3,61200,1: EMPLOYED,
4,7,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1990,No,4,-2,-3,1: NORTHEAST,2: 2  SEPARATED,13,0: RURAL,8,2,25,No,NEVER,27000,32500,-4,High school diploma (or equivalent),No,No,60,506,-4,506,-4,1050,2,7000,3: OUT OF LABOR FORCE,
5,8,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1976,Yes,3,22747,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,8,2,17,No,NEVER,20500,41999,-4,Associate/Junior College (AA),Yes,No,40,-4,-4,502,-4,500,2,2300,1: EMPLOYED,
6,9,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,4,36760,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,26,1: URBAN,5,2,27,No,NEVER,20000,75000,No,Associate/Junior College (AA),No,No,55,506,-4,506,-4,-4,1,97000,1: EMPLOYED,
7,10,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1983,Yes,6,53000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,2,22,Yes,ADULT ONLY,15000,18000,-4,-5,No,Yes,80,-4,-4,-4,-4,-5,2,7500,1: EMPLOYED,
8,11,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,1,81000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,11,0,No children yet,No,NEVER,101653,101653,Yes,-5,No,Yes,45,1101,-4,1101,-4,7000,3,120000,1: EMPLOYED,
9,12,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1989,Yes,4,90350,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,6,2,29,No,NEVER,42600,42600,No,-5,No,No,28,502,-4,502,-4,-5,2,75500,1: EMPLOYED,
10,13,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1989,Yes,5,57000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,3,30,Yes,ADULT ONLY,41000,60000,No,High school diploma (or equivalent),No,No,110,500,-4,500,-4,-5,4,93500,1: EMPLOYED,
11,14,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,No,2,63556,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,18,0,No children yet,No,NEVER,29000,116000,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,Yes,90,2204,-4,2204,-4,12000,2,16100,1: EMPLOYED,
12,15,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1997,Yes,2,70200,0: NOT IN POVERTY,3: SOUTH,1: 1  MARRIED,0,1: URBAN,9,0,33,No,NEVER,30000,38000,Yes,Bachelor of Arts Degree (BA),No,Yes,40,2207,-4,2207,-4,8000,2,31000,1: EMPLOYED,
13,16,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,4,69000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,2,31,No,NEVER,28000,71000,No,High school diploma (or equivalent),No,Yes,18,1402,-4,1402,-4,-4,2,100600,1: EMPLOYED,
14,17,1994,57,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,2,23573,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,10,0,No children yet,No,NEVER,16073,77000,No,High school diploma (or equivalent),No,No,75,2207,-4,2207,-4,-4,3,33000,1: EMPLOYED,
15,18,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1977,Yes,5,189918,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,4,3,19,No,NEVER,101653,236000,No,High school diploma (or equivalent),No,No,35,-3,-4,-3,-4,1200,2,27000,1: EMPLOYED,
16,19,1994,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1987,Yes,2,6766,1: IN POVERTY,1: NORTHEAST,2: 2  SEPARATED,0,1: URBAN,10,1,29,Yes,ADULT ONLY,0,10000,No,High school diploma (or equivalent),Yes,No,-4,-4,-4,-4,-4,-4,0,-1000,3: OUT OF LABOR FORCE,
17,20,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,3,82020,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,11,1,30,No,NEVER,40800,115000,Yes,Bachelor of Science (BS),No,Yes,40,501,-4,501,-4,-5,2,42800,1: EMPLOYED,
18,21,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,2,72500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,18,0,No children yet,No,NEVER,50500,343830,Yes,Bachelor of Arts Degree (BA),No,Yes,45,506,-4,506,-4,-4,2,17050,1: EMPLOYED,
19,22,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,2,39700,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,20,0,No children yet,Yes,CHILD ONLY,17700,45600,Yes,Bachelor of Science (BS),No,Yes,35,401,-4,401,-4,3400,2,11800,1: EMPLOYED,
20,24,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1986,Yes,1,35000,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,11,0,25,No,NEVER,35000,35000,No,High school diploma (or equivalent),Yes,Yes,42,0,-4,0,-4,-5,2,26500,1: EMPLOYED,
21,25,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,4,94000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,3,2,30,No,NEVER,12000,35000,No,High school diploma (or equivalent),No,No,24,1205,-4,1205,-4,-4,2,112400,1: EMPLOYED,
